Number,Location,Author(s),Title,Publisher,Year,ISBN,Notes,Language,Resources,Related Materials,Media
559,E1," Trouillot, Michel-Rolph",Silencing the Past: Power and the Production of History,Boston: Beacon Press,1997," ISBN-13: 9780807043110
ISBN-10: 0807043117"," Black Studies African Diaspora History
Alma Lewis ""Lizania Cruz:
Performing Inquiry""",English,,,
560,E1," Dickerson, Dennis C.",The African Methodist Episcopal Church: A History,Cambridge: Cambridge University Press,2020," ISBN-13: 9780521153966
ISBN-10: 0521153964"," African American history Religion
Alma Lewis ""Lizania Cruz:
Performing Inquiry""",English,,,
561,B3," Davis, Viola",Finding Me,New York: HarperOne,2022," ISBN-13: 9780063037328
ISBN-10: 0063037327"," Memoir Autobiography
Donated by Kary Arimoto-Mercer,
Alma|Lewis board chair",English,https://www.youtube.com/watch? v=HcNEHKfoawE,," Video clip, Oprah Netflix interview"
562,B2," Wright, Richard",Native Son,New York: Harper Perennial,1989," ISBN-13: 9780060809775
ISBN-10: 0060809779"," Novel
Fiction
African American literature Originally published in 1940 by Harper & Brothers
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English," https://kinolorber.com/film/native-son
https://www.youtube.com/watch? v=ghfwH5jWTbc",,Film trailers
563,B2," Walker, Alice",The Color Purple,New York: Pocket Books,1985," ISBN-13: 9780671727796
ISBN-10: 0671727796"," Novel Fiction
African American literature Originally published in 1982 by Harcourt Brace Jovanovich Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English," https://amblin.com/movie/the-color- purple/
https://www.npr. org/2022/11/08/1135090797/revisiting- the-color-purple-wars",," Production company website
Podcast episode"
564,C3," Hughes, Langston",The Ways of White Folks: Stories,New York: Alfred A. Knopf,1963,OCLC: 1016364283," African American Literature Fiction
Short Stories
Originally published in 1934 by Alfred A. Knopf
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English,,See #441 The Ways of White Folks: Stories (1990),
565,A2," hooks, bell",Feminist Theory: From Margin to Center,New York; London: Routledge,2015," ISBN-13: 9781138821668
ISBN-10: 1138821667"," Feminist Theory Cultural Studies Gender Studies
Originally published in 1984 by South End Press
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English,https://www.youtube.com/playlist? list=PLWhTJDazgMDlKssI73cgIdIYQKidYU NUM,," Video series, bell hooks at The New School"
566,A2," hooks, bell",Ain't I a Woman: Black Women and Feminism,New York; London: Routledge,2015," ISBN-13: 9781138821514
ISBN-10: 1138821519"," Feminist Theory Cultural Studies Gender Studies
Originally published in 1981 by South End Press
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English,https://www.youtube.com/playlist? list=PLWhTJDazgMDlKssI73cgIdIYQKidYU NUM,," Video series, bell hooks at The New School"
567,A2," Genet, Jean; translated by Berbard Frechtman",The Blacks: A Clown Show,New York: Grove Press,1960,OCLC: 606077592," Play Theater
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English," http://www.iobdb. com/AdvancedSearch/ProductionCriteria
?
ProductionTitle=The+Blacks&search=Sea rch",,Online database
568,A2," Novy, Marianne",Shakespeare and Feminist Theory,London: Bloomsbury Arden Shakespeare,2019," ISBN-13: 9781472567062
ISBN-10: 1472567064"," Feminist Theory Performance Studies Theater
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair
Signed by the author",English,,,
569,A2," Delphia, Rachel and Alyssa Velazquez",Sharif Bey: Excavations,Pittsburgh: Carnegie Museum of Art,2023," ISBN-13: 9780880390699
ISBN-10: 0880390697"," Artist monograph
Exhibition catalogue
Ceramics Sculpture Pittsburgh",English," https://cmoa.org/exhibition/sharif-bey/
https://www.sharifbeyceramics.com/",See #527 Thaddeus Mosley -2020," Exhibition website
Artist website"
570,Kilolo's office," Kim, Christine Y. and Myrtle Elizabeth Andrews",Black American Portraits," Los Angeles: Los Angeles County
Musuem of Art; New York: DelMonico Books-D.A.P.",2023," ISBN-13: 9781636810164
ISBN-10: 1636810160",Exhibition catalogue African American art,English," https://www.lacma.
org/art/exhibition/black-american- portraits",,Exhibition website
571,Kilolo's office," Brodsky, Jake, ed.",Amy Sherald: The World We Make,New York: Hauser & Wirth Publishers,2023," ISBN-13: 9783906915722
ISBN-10: 3906915727"," Artist monograph Exhibition catalogue Painting
First monograph on the artist",English," https://vip-hauserwirth.com/gallery- exhibitions/amy-sherald-the-world-we- make/
https://www.hauserwirth. com/artists/11577-amy-sherald/",See #86 Amy Sherald (2018),Exhibition website Gallery website
572,Kilolo's office," Hicks, Dan"," The Brutish Museums: The Benin Bronzes, Colonial Violence and Cultural Restitution",London: Pluto Press,2020," ISBN-13: 9780745341767
ISBN-10: 0745341764"," Museums
Art/Culture Administration Colonialism
History",English,https://www.danhicks.uk/,,Author website
573,Kilolo's office," Norton, Margot, Vivian Crockett,
and Ian Wallace",Wangechi Mutu: Intertwined," New York: New Musuem; Phaidon
Press Limited",2023," ISBN-13: 9781838666330
ISBN-10: 1838666338"," Exhibition catalogue
Artist monograph Women artists African American art",English," https://www.newmuseum.
org/exhibitions/view/wangechi-mutu- intertwined-1",,Exhibition website
574,Kilolo's office," Rosenfeld, Michael and halley k. harrisburg",Be Your Wonderful Self: The Portraits of Beauford Delaney,New York : Michael Rosenfeld Gallery,2021," ISBN-13: 9781930416635
ISBN-10: 1930416636"," Exhibition catalogue Artist monograph African American art
Donated by Michael Rosenfeld
Gallery",English," https://www.michaelrosenfeldart. com/exhibitions/be-your-wonderful-self- the-portraits-of-beauford-delaney https://ogdenmuseum.
org/exhibition/be-your-wonderful-self/",,Exhibition website
575,E3," Tillman, Lynne",Stanley Whitney: Afternoon Paintings,New York: Lisson Gallery,2020,ISBN-13: 9780947830748 ISBN-10: 094783074X," Exhibition catalogue Artist monograph African American art Painting
Donated by Dawn and Chris Fleischner",English,https://www.lissongallery. com/exhibitions/stanley-whitney-lisson- gallery-london https://gagosian.com/artists/stanley- whitney/,,Exhibition website Gallery website
576,Catalogued Box 3," Cushing, Frank Hamilton",Zuñi Breadstuff,New York: Museum of the American Indian; Heye Foundation,1974,OCLC: 1319971," Native Americans Indigenous Americans Zuni
Food Foodways
Originally published in 1920 by the Museum of the American Indian Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English,https://www.ashiwi.org/,,Pubelo of Zuni website
577,E1," Sekaquaptwea, Helen and Louise Udall",Me and Mine: The Life Story of Helen Sekaquaptwea,Tucson: University of Arizonia Press,1977," ISBN-13: 9780816502707
ISBN-10: 0816502706"," Native Americans
Indigenous Americans
Hopi Memoir
Originally published in 1969 by University of Arizonia Press Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English,https://www.hopi-nsn.gov/https://www.azwhf.org/copy-of-clara-m-schell,," Hopi Tribe website
Arizonia Women's Hall of
Fame website"
578,E1," Lomakema, Milland/Dawakema and Mark Lomayestewa/Kewanhongnaya; edited by Mike Kabotie",Two Hopi Song Poets of Shungopavi,Second Mesa: Hopi Arts and Crafts Co- Op Guild; Phoenix: Arizona Commission of Arts and Humanities,1978,," Native American literature Poetry
Hopi
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",Hopi English,,,
579,E1," Schweitzer, Albert",Indian Thought and Its Development,London: Adam & Charles Black,1951,," Philosophy
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English,,,
580,E1," Talayesva, Don C.; edited by Leo W. Simmons",Sun Chief: The Autobiography of a Hopi Indian,New Haven: Yale University Press,1978," ISBN-13: 9780300002270
ISBN-10: 0300002270"," Native Americans Indigenous Americans Hopi
Memoir
Originally published in 1942 by Yale University Press
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English,,,
581,E1," Treuer, David",The Heartbeat of Wounded Knee: Native America from 1890 to the Present,New York : Riverhead Books,2019," ISBN-13: 9780399573194
ISBN-10: 0399573194"," Native Americans Indigenous Americans History
Politics Memoir
Donated by Kary Arimoto-Mercer, Alma|Lewis board chair",English,https://www.davidtreuer.net/,,Author website
582,E1," Lupton, Ellen, Farah Kafei, Jennifer Tobias, Josh A. Halstead, Kaleena Sales, Leslie Xia, and Valentina
Vergara"," Extra Bold: A Feminist, Inclusive, Anti-Racist, Nonbinary Field Guide for Graphic Designers",New York: Princeton Architectural Press,2021,ISBN-13: 9781616899189 ISBN-10: 1616899182,Graphic Design Design History,English,,See #443 Race and Modern Architecture (2020),
583,Catalogued Box 3,Friends of the Artist,Friends of the Artist Volume 11,n/a: Friends of the Artist,2020," ISBN-13: 9781647861407
ISBN-10: 1647861403",Contemporary Art,English," https://www.friendoftheartist.
com/volume11",,Organization website
584,Catalogued Box 3," LeFalle-Collins, Lizzetta",Novae: William H. Johnson and Bob Thompson,Los Angeles: California Afro-American Museum,1990,OCLC: 21969752," Exhibition catalogue
African American art Painting",English,https://caamuseum.org/,,Museum website
585,Catalogued Box 3," Hartigan, Lynda Roscoe"," Sharing Traditions: Five Black Artists in
Nineteenth-Century America"," Washington, D.C.: Smithsonian
Institution Press",1985," ISBN-13: 9780874745139
ISBN-10: 0874745136"," Exhibition catalogue
African American art Painting
Sculpture",English,,,
586,Catalogued Box 3," Hine, Darlene Clark, William C.
Hine, and Stanley Harrod"," The African American Odyssey, Volume One:
to 1877",Upper Saddle River: Prentice Hall,2000," ISBN-13: 9780137588220
ISBN-10: 0137588224"," African American history
includes audio CD",English,,,
587,Catalogued Box 3," Hine, Darlene Clark, William C. Hine, and Stanley Harrod"," The African American Odyssey, Volume Two: since 1863",Upper Saddle River: Prentice Hall,2000," ISBN-13: 9780137588480
ISBN-10: 0137588488",African American history includes audio CD,English,,,
588,Catalogued Box 3," Scott, Joyce and Jacqueline Pondexter-Jordan"," Women Artists of Color: ""Of the Spirit""",Pittsburgh: Pittsburgh Center for the Arts,1996,," Exhibition catalogue African American art Women artists
Pittsburgh",English,,,
589,Catalogued Box 3," Harris, Shawnya L., ed.",Emma Amos: Color Odyssey," Athens: Georgia Museum of Art, University of Georgia",2021,ISBN-13: 9780915977468 ISBN-10: 091597746X,Exhibition catalogue Artist monograph Women artists,English,https://georgiamuseum. org/exhibit/emma-amos-color-odyssey/ https://philamuseum. org/calendar/exhibition/emma-amos- color-odyssey,,Exhibition website
590,Catalogued Box 3," Jules, Jason and Graham Marsh",Black Ivy: A Revolt in Style,London: Reel Art Press,2021," ISBN-13: 9781909526822
ISBN-10: 1909526827",Fashion Style,English,https://us.drakes. com/blogs/news/jason-jules-drakes- black-ivy-edit-essay https://www.instagram. com/garmsville/?hl=en,,Editorial Instagram
591,Catalogued Box 3," Mills, Charles W.",The Racial Contract,Ithaca: Cornell University Press,1999," ISBN-13: 9780801484636
ISBN-10: 0801484634"," Philosophy
Race",English,,,
592,Catalogued Box 3," Turner, William H.",The Harlan Renaissance: Stories of Black Life in Appalachian Coal Towns,Morgantown: West Virginia University Press,2021," ISBN-13: 9781952271212
ISBN-10: 1952271215"," African American History Appalachia
Sociology Labor History
Signed by the author",English,https://ket. org/program/connections/connections- 182450/,,TV episode
593,Catalogued Box 3," Zabunyan, Elvan"," Black Is A Color: A History of African American
Art",Paris: Dis Voir,2005," ISBN-13: 9782914563208
ISBN-10: 2914563205"," African American art
African American Art History",English,,,
594,Catalogued Box 3," Smith-Stewart, Amy",52 Artists: A Feminist Milestone,Ridgefield: The Aldrich Contemporary Art Museum; New York: Gregory R. Miller & Co.,2022," ISBN-13: 9781941366462
ISBN-10: 1941366465"," Exhibition catalogue Contemporary art Feminism
Women artists
Features Alma Lewis gallery artist Lizania Cruz",English,https://thealdrich.org/exhibitions/52- artists-revisiting-a-feminist-milestone,,Exhibition website
595,Catalogued Box 3," Stovall, Will, ed.",Of the Land: The Art and Poetry of Lou Stovall," Washington, D.C.: Georgetown
University Press",2022," ISBN-13: 9781647121716
ISBN-10: 164712171X"," Artist monograph
African American art Printmaking
Poetry",English," https://stovallworkshop.com/
https://georgiamuseum.org/exhibit/lou- stovall/",," Lou Stovall Workshop
website
Exhibition website"
596,Catalogued Box 3," Al-Khudhairi, Wassan",Addoley Dzegede: Ballast,St. Louis: Contemporary Art Museum St. Louis,2018,OCLC: 1277179847," Exhibition catalogue Contemporary art Women artists
Alma Lewis artist-in-residence
Addoley Dzegede",English,https://camstl.org/exhibitions/great- rivers-biennial-2018/ https://www.addoley.com/ https://www.addoley.com/ballast,,Exhibition website Artist website
597,Catalogued Box 3," Sims, Lowery Stokes, Kathleen Hulser, and Cynthia R. Copeland",Legacies: Contemporary Artists Reflect on Slavery,New York: New York Historical Society,2006,OCLC: 71291829,Exhibition catalogue Contemporary art American Slavery,English,https://www.nyhistory.org/,,Museum website
598,Catalogued Box 3," Berger, Maurice"," How Art Becomes History: Essays on Art,
Society, and Culture in Post-New Deal America",New York: Icon Editions,1992," ISBN-13: 9780064302029
ISBN-10: 0064302024"," Art History
Essays American art",English,,,
599,Kilolo's office," Enwezor, Okwui and Zoë Ryan, eds."," David Adjaye: Form, Heft, Material",Chicago: Art Institute of Chicago; Munich: Haus der Kunst,2015," ISBN-13: 9780300207750
ISBN-10: 0300207751"," Exhibition catalogue Artist monograph Architecture
Design",English," https://www.hausderkunst. de/en/exhibitions/david-adjaye-form- heft-material-94
https://www.adjaye.com/",,Exhibition website Architecture firm website
600,Kilolo's office," Anderson, Sean and Mabel O.Wilson, eds.",Reconstructions: Architecture and Blackness in America,New York: Museum of Modern Art,2021," ISBN-13: 9781633451148
ISBN-10: 1633451143"," Exhibition catalogue
Architecture
Design",English,https://www.moma.org/calendar/exhibitions/5219,See #390 Black Reconstruction in America 1860-1880,Exhibition website
601,," Molesworth, Helen",Leap Before You Look: Black Mountain College 1933–1957," Boston: Institute of Contemporary Art, Boston; New Haven: Yale University Press",2015," ISBN-13: 9780300211917
ISBN-10: 0300211910"," Exhibition catalogue
Modern art
Contemporary art Art education",English,https://www.icaboston.org/exhibitions/leap-you-look-black-mountain-college-1933%E2%80%931957 https://hammer.ucla. edu/exhibitions/2016/leap-before-you- look-black-mountain-college-1933-1957 https://wexarts.org/exhibitions/leap- before-you-look-black-mountain-college https://www.blackmountaincollege.org/,," Exhibition website
Museum website"
602,," Hodges, Bill"," Norman Lewis : A Painter's Odyssey, 1935-
1970",New York: Bill Hodges Gallery,2009," ISBN-13: 9781891978265
ISBN-10: 1891978268"," Exhibition catalogue
African American art Painting",English,http://billhodgesgallery.com/,,Gallery website
603,," Hodges, Bill",African American Artists III,New York: Bill Hodges Gallery,2002," ISBN-13: 9781891978159
ISBN-10: 1891978152"," Catalogue
African American art",English,http://billhodgesgallery.com/,,
604,," Hodges, Bill",African American Artists II,New York: Bill Hodges Gallery,2000,OCLC: 200518650," Catalogue
African American art",English,http://billhodgesgallery.com/,,Gallery website
605,," Hodges, Bill and Brittany Maldonado",Wifredo Lam + Agustín Cárdenas,New York: Bill Hodges Gallery,2021," ISBN-13: 9781891978289
ISBN-10: 1891978284"," Exhibition catalogue Surrealism
Modern art
Latin American art Caribbean art",English,http://billhodgesgallery.com/ http://billhodgesgallery. com/exhibitions/wifredo-lam-agustin- cardenas/,,Gallery website Exhibition website
606,," Hodges, Bill",African American Artists IV,New York: Bill Hodges Gallery,2006,OCLC: 65392207," Catalogue
African American art",English,http://billhodgesgallery.com/,,Gallery website
607,," Hodges, Navindren A., ed.",Masters of Sculpture,New York: Bill Hodges Gallery,2022," IBSN-13: 9781891978302
ISBN-10: 1891978306"," Exhibition catalogue African American art Modern art
Sculpture",English,http://billhodgesgallery.com/ http://billhodgesgallery. com/exhibitions/masters-of-sculpture/,,Gallery website Exhibition website
608,," Hodges, Navindren A. and Michaela Lunz",Norman Lewis: Shades of Blackness,New York: Bill Hodges Gallery,2021," ISBN-13: 9781891978302
ISBN-10: 1891978306",Exhibition catalogue African American art Painting,English," http://billhodgesgallery.com/ http://billhodgesgallery. com/exhibitions/norman-lewis-shades-
of-blackness/",,Gallery website Exhibition website
609,," Hodges, Bill and Mindy Tan"," Norman W. Lewis, et al.",New York: Bill Hodges Gallery,2017," ISBN-13: 9781891978272
ISBN-10: 1891978276"," Catalogue
African American art",English,http://billhodgesgallery.com/,,Gallery website
610,Kilolo's office," Julien, Issac,  Cora Gilroy-Ware, and Vladimir Seput, eds.",Lessons of the Hour: Frederick Douglass,London: Isaac Julien Studio; Rochester: Memorial Art Gallery of The University of Rochester; [Saratoga Springs: The Frances Young Tang Teaching Museum and Art Gallery at Skidmore College,2021," ISBN-13: 9781636810393
ISBN-10: 163681039X"," Exhibition catalogue
Artist monograph Video
Installation",English," https://www.isaacjulien.com/projects/37/ https://mag.rochester. edu/exhibitions/isaac-julien/
https://vmfa. museum/exhibitions/exhibitions/isaac-julien-lessons-hour-frederick-douglass/#:
~:text=Lessons%20of%20the%20Hour%E2%80%94Frederick%20Douglass%20is% 20an%20immersive%20and, contemporary%20challenges%20of% 20the%20day."," See #190 Narrative of the Life
Frederick Douglass, an American Slave"," Artist website
Exhibition website"
611,E1," Wu, Ellen D.",The Color of Success: Asian Americans and the Origins of the Model Minority,Princeton: Princeton University Press,2014,," Asian American History Asian American Studies History
Politics",English,,,
612,A3," Shaw, Gwendolyn Dubois",Seeing the Unspeakable: The Art of Kara Walker,Durham: Duke University Press,2004," ISBN-13: 9780822333968
ISBN-10: 0822333961",Artist monograph African American art Women artists,English,," See #17 Kara Walker: Pictures from Another Time; #30 Kara Walker: A Black Hole is Everything a Star Longs to Be; #139 Kara Walker: Narratives of a Negress; #415 The Ecstasy of St. Kara: Kara Walker, New Work; #436 Kara Walker: Figa",
613,Kilolo's office," Lewis, Edna",The Taste of Country Cooking,New York: Alfred A. Knopf,1990," ISBN-13: 9780394732152
ISBN-10: 0394732154"," Cookbook
Cooking Food
African American History Originally published in 1976 by Alfred A. Knopf",English," https://www.southernliving.
com/culture/edna-lewis-at-table-with- american-original https://www.kinfolk.com/edna-lewis/"," See # 615 In Pursuit of Flavor;
#615 The Gift of Southern Cooking",Online article
614,Kilolo's office," Lewis, Edna",In Pursuit of Flavor,New York: Alfred A. Knopf,1988," ISBN-13: 9780394542713
ISBN-10: 0394542711"," Cookbook Food
African American History",English," https://www.southernliving. com/culture/edna-lewis-at-table-with- american-original
https://www.kinfolk.com/edna-lewis/",See #614 The Taste of Country Cooking; #616 The Gift of Southern Cooking,Online article
615,Kilolo's office," Lewis, Edna and Scott Peacock",The Gift of Southern Cooking: Recipes and Revelations from Two Great American Cooks,New York: Alfred A. Knopf,2003," ISBN-13: 9780375400353
ISBN-10: 0375400354"," Cookbook Cooking Food
American South",English,https://www.southernliving. com/culture/edna-lewis-at-table-with- american-original https://www.kinfolk.com/edna-lewis/,See #614 The Taste of Country Cooking; #615 The Pursuit of Flavor,Online article
616,A3," Malinowski, Patricia A.",Mel Bochner: 1973-1985,Pittsburgh: Carnegie Mellon University Press,1985," ISBN-13: 9780887480157
ISBN-10: 0887480152"," Exhibition catalogue Artist monograph Painting
Conceptual art Pittsburgh
Donated by Kary Arimoto-Mercer
and Rick Mercer",English,http://www.melbochner.net/,,Artist website
617,Kilolo's office," Luckett, Kilolo, ed.",Stephen Towns: Declaration & Resistance," Greensburg: Westmoreland Museum
of American Art",2023,ISBN-13: 9780931241000," Exhibition catalogue
Artist monograph Painting
Quilting
Signed by the author",English," https://thewestmoreland.
org/exhibitions/stephen-towns- declaration-resistance/ https://reynolda. org/museum/exhibitions/stephen- towns-declaration-resistance/"," See #514 Stephen Towns: A Path
Between Two Continents",Exhibition website
618,Kilolo's office," Kaplan, Brett Ashley, ed.",Critical Memory Studies: New Approaches,London: Bloomsbury Academic,2023," ISBN-13: 9781350230118
ISBN-10: 1350230111"," Memory Memory Studies Literary Studies
Edited volume",English,,,
619,Kilolo's office," Kim, Chul R., ed.",American Struggle: Teens Respond to Jacob Lawrence,Chambersburg: Six Foot Press,2020,ISBN-13: 9781644420218 ISBN-10: 164442021X," Exhibition publication African American art history Painting
Teenagers",English,https://www.pem.org/jacob-lawrence- the-american-struggle-panels https://www.metmuseum. org/exhibitions/listings/2020/jacob- lawrence-american-struggle https://www.phillipscollection. org/event/2021-06-25-jacob-lawrence- american-struggle,See #543 Jacob Lawrence: American Painter,Exhibition website
620,Kilolo's office," Woodward, Richard B.; Ash Duhrkoop; Ndubuisi Ezeluomba; Sheila Payaqui;  Ainslie Harrison; Casey Mallinckrodt; Kathryn
Brugioni Gabrielli",The Arts of Africa: Studying and Conserving the Collection,Richmond: Virginia Museum of Fine Arts; New Haven: Yale University Press,2020,ISBN-13: 9780300250923 ISBN-10: 0300250924," African art Museums Conservation
Virginia Museum of Fine Arts",English,https://vmfa. museum/collections/african-art/,,Museum collection website
621,Kilolo's office," Carter, Ruth E."," The Art of Ruth E. Carter: Costuming Black History and the Afrofuture, from Do the Right Thing to Black Panther",San Francisco: Chronicle Books,2023," ISBN-13: 9781797203065
ISBN-10: 1797203061"," Artist monograph Women artists Costume design
Film",English," https://americanfilmshowcase.com/afs- films/abstract/ https://www.youtube.com/watch?
v=sLnFxo_RbGs",,Docuseries website Video
622,Kilolo's office," Oliver, Valerie Cassel"," The Dirty South: Contemporary Art, Material Culture, and the Sonic Impulse",Richmond: Virginia Museum of Fine Arts,2021," ISBN-13: 9781934351192
ISBN-10: 1934351199"," Exhibition catalogue
African American art history Southern culture",Englsih,https://vmfa. museum/exhibitions/exhibitions/dirty- south-contemporary-art-material- culture-sonic-impulse/,,Exhibition website
623,Kilolo's office," Boganey, Kim",Beverly McIver: An Introspective Retrospective,Raleigh: Contemporary Art Musuem Raleigh,,,,,,,
624,Kilolo's office," Seigensha; WADA, Sanzo"," A Dictionary of Color Combinations, Vol. 1"," Kyoto: Seigensha Art Publishing, Inc.",2011," ISBN-13: 9784861522475
ISBN-10: 4861522471"," Dictionary Reference books Design
Original 6-volume color studies (Haishoku Soukan) by WADA, Sanzo [Japanese surname appears first] published during the 1930s",Japanese,https://en.seigensha.com/books/978-4- 86152-247-5/," See #625 A Dictionary of Color Combinations, vol. 2",Publisher's website
625,Kilolo's office," Seigensha; WADA, Sanzo"," A Dictionary of Color Combinations, Vol. 2"," Kyoto: Seigensha Art Publishing, Inc.",2020," ISBN-13: 9784861527722
ISBN-10: 4861527724"," Dictionary Reference books Design
Original 6-volume color studies (Haishoku Soukan) by WADA, Sanzo [Japanese surname appears first]
published during the 1930s",Japanese; English,https://en.seigensha.com/books/978-4- 86152-772-2/," See #624 A Dictionary of Color Combinations, vol. 1",Publisher website
626,Kilolo's office," Gilman, Claire; Isabella Kapur; and Anneka Lenssen",Drawing Papers 153 A Greater Beauty: The Drawings of Kahlil Gibran,New York: The Drawing Center,2023,ISBN-13: 9798987600924," Exhibition catalogue Drawings
Literature",English," https://drawingcenter.org/exhibitions/a- greater-beauty-kahlil-gibran https://www.kahlilgibran. com/images/The%20Prophet% 20Ebook%20by%20Kahlil%20Gibran.pdf
https://gibransprophetmovie.com/",," Museum website PDF book
Film"
627,Kilolo's office," Gilman, Claire with poems by Anaïs Duplan",Drawing Papers 154 Naudline Pierre: This Is Not All There Is,New York: The Drawing Center,2023,ISBN-13: 9798987600931," Exhibition catalogue Drawings
Women artists",English," https://www.naudline.com/ https://www.instagram.com/cluvie/? hl=en
https://drawingcenter. org/exhibitions/naudline-pierre-this-is- not-all-there-is",," Artist website
Artist Instagram page Museum website"
628,Kilolo's office," Candy, Kimberly",Pittsburgh and the Great Migration : Black Mobility and the Automobile,Pittsburgh: The Frick Pittsburgh ; Charleston: The History Press,2023," ISBN-13: 9781467153140
ISBN-10: 1467153141"," Exhibition publication Pittsburgh
African American history Great Migration
Cars
Design",English,https://www.thefrickpittsburgh. org/Exhibition-Pittsburgh-And-The- Great-Migration,,Museum website
629,Kilolo's office," Simply, Jay and Sydney Ellision, eds.",The Photographer's Green Book Vol. 1,Location unidentified: Photographers Green Book LLC,2021," ISBN-13: 9780578996615
ISBN-10: 0578996618"," Photography Media
Artist interviews",English," https://www.photogreenbook.com/ https://www.instagram. com/photogreenbook/ https://digitalcollections.nypl. org/collections/the-green-book#/?
tab=about",,Resource website Instagram page Schomburg Center website
630,Kilolo's office," Hughes, Holly, ed.",Best Food Writing 2016,Boston: Da Capo Lifelong Books,2016," ISBN-13: 9780738219448
ISBN-10: 0738219444"," Anthology
Essays
Food writing
Cooking",English,,,
631,Kilolo's office," Livesay, Harold C.",Andrew Carnegie and the Rise of Big Business," Boston: Little, Brown and Company",1975," ISBN-13: 9780316528702
ISBN-10: 0316528706"," Pittsburgh
Steel Industry
History",English,,,
632,Kilolo's office," Ewing, Adam",The Age of Garvey: How a Jamaican Activist Created a Mass Movement and Changed Global Black Politics,Princeton: Princeton University Press,2014," ISBN-13: 9780691173832
ISBN-10: 0691173834"," History
African Diaspora
Pan-Africanism
Politics",English,,,
633,Kilolo's office," Barrayn, Laylah Amatullah",We Are Present: 2020 in Portraits,New York: Magnum Foundation,2022,ISBN-13: 9798218022716," Photography
Photobook Portraits Women artists
Limited edition book",English," https://laylahbarrayn.format.com/
https://www.wearepresentbook.com/",,
634,Kilolo's office," Silvera, Makeda, ed",Piece of My Heart: A Lesbian of Colour Anthology,Toronto: Sister Vision Press,1991," ISBN-13: 9780920813652
ISBN-10: 0920813658"," Anthology
Essays
Poetry
Women artists
Gender and sexuality
Queerness",English,,,
635,Kilolo's office," Leers, Dan",An-My Lê: On Contested Terrain," Pittsburgh: Carnegie Museum of Art;
New York: Aperture",2020," ISBN-13: 9780880390705
ISBN-10: 0880390700"," Pittsburgh
Exhibition catalogue
Photography
Women artists",English," https://carnegieart.org/exhibition/an-my-le/

https://mam.org/exhibitions/details/an-my-le.php

https://www.cartermuseum.org/exhibitions/an-my-le-contested-terrain",,Exhibition website
636,Kilolo's office," Mohebbi, Sohrab; Ryan Inouye and Talia Heiman",Is it morning for you yet? 58th Carnegie International,Pittsburgh: Carnegie Museum of Art,2022,ISBN-13: 9780880390712," Pittsburgh
Exhibition catalogue
Contemporary art
Carnegie International",English,https://carnegieart.org/international/2022-carnegie-international/,See #637 Is it morning for you yet? 58th Carnegie International [exhibition guide],Exhibition website
637,Kilolo's office," Mohebbi, Sohrab; Ryan Inouye and Talia Heiman",Is it morning for you yet? 58th Carnegie International [Exhibition Guide],Pittsburgh: Carnegie Museum of Art,2022," ISBN-13: 9781524761738
ISBN-10: 1524761737"," Pittsburgh
Exhibition guide
Contemporary art
Carnegie International",English,,See #636 Is it morning for you yet? 58th Carnegie International [exhibition catalogue],Exhibition website
638,Kilolo's office," Tipton-Martin, Toni",Jubilee: Recipes from Two Centuries of African American Cooking: A Cookbook,New York: Clarkson Potter/Publishers,2019," ISBN-13: 9781524761738
ISBN-10: 1524761737"," African American history
Cookbook
Cooking
Food",English,https://tonitiptonmartin.com/,See #336 The Jemima Code: Two Centuries of African American Cookbooks,Author website
639,Kilolo's office,Chicago Department of Cultural Affairs,The Chicago Public Art Guide," Chicago: Department of Cultural Affairs, City of Chicago",2004,OCLC: 62149807," Chicago
Public art
Sculpture
Donated by Kary Arimoto-Mercer and Rick Mercer",English," https://www.chicago.gov/city/en/depts/dca/provdrs/public_art_program.html
https://www.chicago.gov/content/dam/city/depts/dca/Public%20Art/publicartguide1.pdf",,City of Chicago website PDF 2007 edition of public art guide
640,Kilolo's office," Di San Lazzaro, Gualtieri; translated by Stuart Hood",Klee: A Study of His Life and Work," New York: Frederick A. Praeger, Publishers",1957,OCLC: 466417," Modern art
Artist monograph
Biography
Handwritten note on paper in marker: ""hints of Klee's possible
North African heritage""
Donated by Kary Arimoto-Mercer and Rick Mercer",English (original text in Italian),https://www.metmuseum.org/toah/hd/klee/hd_klee.htm,,Museum website
